tipo,codice,descrizione,pct_puro_standard,attivo
Droga,MDRMDBAC0500000M,MELA ANNURCA FRUTTO,15,SI
Droga,MDRMLSOC0800000M,Melissa foglie,15,SI
Droga,MDRMDBAF5800000M,MELA ANNURCA FRUTTO FRESCO da filiera certificata,15,SI
Droga,MDRPLLCC1700000M,Guaranà seme t.t.,15,SI
Droga,MDRCRTOC08000,HARPAGO RADICE FETTE,15,SI
Droga,MDRORTSC1000000M,ORTHOSIPHON SOMMITA',15,SI
Droga,MDRFLPUC0700000M,Spirea Ulmaria,15,SI
Droga,MDREQSAC0700000M,EQUISETO ERBA,15,SI
Droga,MDRRBSNC0800000M,Ribes foglie t.t.,15,SI
Droga,MDRTRGFC1700000M,Fieno greco seme taglio estrazione,15,SI
Droga,MDRMLSOF0800000M,MELISSA FOGLIE DA Filiera certificata,15,SI
Droga,MDRFNCVC1700000M,Finocchio,15,SI
Droga,MDRCLACC1700000M,Cola noci T.T,15,SI
Droga,MDRHRCPC2600000M,Pilosella erba t.t.,15,SI
Droga,MDRALTOC1400000M,Altea radice t.t.,15,SI
Droga,MDRGRNRF0700000M,GRINDELIA erba da Filiera Certificata 5,15,SI
Droga,MDRTRXOC08000,Tarassaco foglie t.t.,15,SI
Droga,MDRCRNSC1700000M,CORIANDOLO SEME,15,SI
Droga,MDRECHSC0700000M,Echinacea Purpurea erba taglio estraz.,15,SI
Droga,MDRPTYOC3700000M,Muira puama legno scaglie,15,SI
Droga,MDRVTXAC0500000M,AGNOCASTO FRUTTO T.T.,15,SI
Droga,MDRCRMCC1700000M,CARVI - KUMMEL SEMI,15,SI
Droga,MDRMLVSC0800000M,Malva,15,SI
Droga,MDRTRXOC14000,Tarassaco radice t.t.,15,SI
Droga,MDRRSMOL08000,ROSMARINO,15,SI
Droga,MDRPSSIC0800000M,PASSIFLORA Foglia,15,SI
Droga,MDRRSMOC08000,ROSMARINO FOGLIE INTERE,15,SI
Droga,MDRURTDC0800000M,Ortica foglia t.t.,15,SI
Droga,MDRHMLLC04000,LUPPOLO FIORI CONTUSI (STROBILI),15,SI
Droga,MDRSLDVC2600000M,VERGA D'ORO(SOLIDAGO) PIANTA T.T.,15,SI
Droga,MDRGLYGC1400000M,LIQUIRIZIA RADICE,15,SI
Droga,MDRTHYVC08000,TIMO VOLGARE FOGLIE,15,SI
Droga,MDRMRRVC0700000M,MARRUBIO bianco erba tagliata,15,SI
Droga,MDRCRCLC1400000M,CURCUMA RIZOMA,15,SI
Droga,MDRMLSOB0800000M,MELISSA FOGLIE BIO,15,SI
Droga,MDRMLSOL08000,MELISSA foglie locale,15,SI
Droga,MDRHBSSC0400000M,Ibisco (Karkadè) fiori t.t.,15,SI
Droga,MDRSSYOC07000,Erisimo ERBA TAGLIATA,15,SI
Droga,MDRESCCF0700000M,ESCOLZIA ERBA DA FILIERA CERTIFICATA,15,SI
Droga,MDRTLSPC0400000M,Tiglio fiori e foglie t.t.,15,SI
Droga,MDRECLGC0800000M,Eucalipto foglie t.t. taglio estrazione,15,SI
Droga,MDRMLSOL0800000M,Melissa foglia locale,15,SI
Droga,MDRMLLOC0700000M,Meliloto,15,SI
Droga,MDRHDRHC0800000M,Edera Helix foglie t.t. taglio estrazione,15,SI
Droga,MDRCHMRC04000,CAMOMILLA FIORI,15,SI
Droga,MDRRHMFC0200000M,Frangula C.,15,SI
Droga,MDRSLVOC0800000M,Salvia,15,SI
Droga,MDRCTRGC17000,Pompelmo semi contusi,15,SI
Droga,MDRACHMC1000000M,Achillea sommità fiorite t.t.,15,SI
Droga,MDRARNDC26000,CANNELLA REGINA CONTUSA,15,SI
Droga,MDRURTDF0800000M,ORTICA foglia da Filiera Certificata ISO 22005,15,SI
Droga,MDRGRNRF2200000M,Grindelia erba con fiore,15,SI
Droga,MDRARCLC1400000M,Bardana radice t.t. taglio estrazione,15,SI
Droga,MDRDSMAC0800000M,Desmodio foglia taglio estrazione estrazione,15,SI
Droga,MDRCHRAC0700000M,Crisantello americano erba tagliata,15,SI
Droga,MDRMDBAF0500000M,Melanzana rossa lucana da filiera certificata,15,SI
